"Category Filter Settings","Category Filter Settings"
"Manage Group Attributes","Manage Group Attributes"
"Add New Group","Add New Group"
"Save Group","Save Group"
"Delete Group","Delete Group"
"Save and Continue Edit","Save and Continue Edit"
"Edit Group '%1'","Edit Group '%1'"
"New Group","New Group"
"Group Information","Group Information"
"General Information","General Information"
"Group Title","Group Title"
"Group Code","Group Code"
Status,Status
Enabled,Enabled
Disabled,Disabled
Swatch,Swatch
Alias,Alias
Position,Position
Attribute,Attribute
"Attribute Options","Attribute Options"
"Display Properties","Display Properties"
"Display Mode","Display Mode"
"Add From-To Widget","Add From-To Widget"
"Minimum Slider Value","Minimum Slider Value"
"Please specify the min value to limit the slider, e.g. <$10","Please specify the min value to limit the slider, e.g. <$10"
"Maximum Slider Value","Maximum Slider Value"
"Please specify the max value to limit the slider, e.g. >$999","Please specify the max value to limit the slider, e.g. >$999"
"Slider Step","Slider Step"
"Measure Units","Measure Units"
"Unit Label","Unit Label"
"Position Label","Position Label"
"Show in the Block","Show in the Block"
"Sort Options By","Sort Options By"
"Show Product Quantities","Show Product Quantities"
"Show Search Box","Show Search Box"
"Show the searchbox if the number of options more than","Show the searchbox if the number of options more than"
"Customers will be able to search for the filter option in the searchbox. Leave the field empty to hide the searchbox.","Customers will be able to search for the filter option in the searchbox. Leave the field empty to hide the searchbox."
"Number of unfolded options","Number of unfolded options"
"Other options will be shown after a customer clicks the ""More"" button.","Other options will be shown after a customer clicks the ""More"" button."
Expand,Expand
"Allows to expand filter automatically right after a page is loaded.
                Set 'Expand for desktop only' to keep filter minimized on mobile. Keep 'Auto' to work
                based on the custom theme functionality.","Allows to expand filter automatically right after a page is loaded.
                Set 'Expand for desktop only' to keep filter minimized on mobile. Keep 'Auto' to work
                based on the custom theme functionality."
Tooltip,Tooltip
Filtering,Filtering
"When multiselect option is disabled it follows the category page (except the filtering from the search page)","When multiselect option is disabled it follows the category page (except the filtering from the search page)"
"Allow Multiselect","Allow Multiselect"
"Multiple Values Logic","Multiple Values Logic"
