Product Designer,Product Designer,,
Product Designer Activation,Product Designer Activation,,
Activation Key,Activation Key,,
Select Websites,Select Websites,,
General,General,,
Enable,Enable,,
Enabled Design Button on Category Page,Enabled Design Button on Category Page,,
Disable Add to Cart button on Category Page,Disable Add to Cart button on Category Page,,
Fixed Price for design area,Fixed Price for design area,,
Price per image,Price per image,,
Price per text,Price per text,,
Price per Custom uploaded Image,Price per Custom uploaded Image,,
"Image width, px","Image width, px"
"Image height, px","Image height, px"
Page Title,Page Title,,
Clipart Configuration,Clipart Configuration,,
Enable Clipart,Enable Clipart,,
Text Configuration,Text Configuration,,
Enable Text Tab,Enable Text Tab,,
Enable Google Fonts,Enable Google Fonts,,
Google Font List,Google Font List,,
Default Font Size,Default Font Size,,
Default Font,Default Font,,
Custom Image Upload Configuration,Custom Image Upload Configuration,,
Enable Upload Custom Image,Enable Upload Custom Image,,
Select fonts which you want to show on frontend,Select fonts which you want to show on frontend,,
Max height is 650.,Max height is 650.,,
Max width is 650.,Max width is 650.,,
Select Yes to Disable Add to Cart button on Category Page.,Select Yes to Disable Add to Cart button on Category Page.,,
Select Yes to enabled Design Button on Category Page.,Select Yes to enabled Design Button on Category Page.,,
Select Yes to enable this feature.,Select Yes to enable this feature.,,
Yes,Yes,,
No,No,,
Price:,Price:,,
Zoom In,Zoom In,,
Zoom Out,Zoom Out,,
Preview,Preview,,
Save,Save,,
Continue,Continue,,
Choose Color,Choose Color,,
Choose Side,Choose Side,,
Product Price: ,Product Price: ,,
Fixed Price: ,Fixed Price: ,,
Images Price: ,Images Price: ,,
Texts Price: ,Texts Price: ,,
Uploaded Images Price: ,Uploaded Images Price: ,,
Cliparts,Cliparts,,
Text,Text,,
Upload Images,Upload Images,,
My Design,My Design,,
Templates,Templates,,
Name &amp; Numbers,Name &amp; Numbers,,
Add Names And Numbers,Add Names And Numbers,,
Names,Names,,
Numbers,Numbers,,
Add Names And Numbers,Add Names And Numbers,,
Login to get stored images,Login to get stored images,,
Customer Login,Customer Login,,
Login,Login,,
Create an Account,Create an Account,,
If you have an account, sign in with your email address.,If you have an account, sign in with your email address.,,
Layers,Layers,,
Layer,Layer,,
Action,Action,,
Front,Front,,
Back,Back,,
Delete,Delete,,
Download,Download,,
Email,Email,,
Password,Password,,
Registered Customers,Registered Customers,,
Choose Cliparts,Choose Cliparts,,
Choose Category,Choose Category,,
Change Product,Change Product,,
Search by tags,Search by tags,,
Add Text,Add Text,,
Add Clip-art,Add Clip-art,,
Customize,Customize,,
I have the rights to use these images.,I have the rights to use these images.,,
Please upload High Resolution image,Please upload High Resolution image,,
Please Select Image Or Add New Image,Please Select Image Or Add New Image,,
Sorry, no designs found.,Sorry, no designs found.,,
Browse,Browse,,
Choose Quotes,Choose Quotes,,
Enter text here,Enter text here,,
Add,Add,,
Shadow,Shadow,,
Outline,Outline,,
Color,Color,,
Clear,Clear,,
Blur,Blur,,
Width,Width,,
Upload,Upload,,
Remove Images,Remove Images,,
Design It,Design It,,
Edit Design,Edit Design,,
Add To Cart,Add To Cart,,
Product Design,Product Design,,
Quantity & Sizes,Quantity & Sizes,,
Find your size,Find your size,,
Design,Design,,
Show sample image of product design,Show sample image of product design,,
Sample image text,Sample image text,,
Show Instruction,Show Instruction,,
Instruction Text,Instruction Text,,
Add your note here...,Add your note here...,,
Special Note,Special Note,,
Copy,Copy,,
Front,Front,,
Back,Back,,
Delete,Delete,,
Redo,Redo,,
Undo,Undo,,
Center,Center,,
Flip-X,Flip-X,,
Flip-Y,Flip-Y,,
