"+ Add Tier Price","+ Add Tier Price"
"+ Link","+ Link"
"<b>Please Note.</b> You can't remove or create new options (except Image and HTML Text) for specific store view. That should be done in the Default configuration scope and then inherited to the store view scope. However, you still can hide some options by setting <i>visibility = hidden</i>. In the store view scope you can also rename options, reorder, set custom prices and change other properties.","<b>Please Note.</b> You can't remove or create new options (except Image and HTML Text) for specific store view. That should be done in the Default configuration scope and then inherited to the store view scope. However, you still can hide some options by setting <i>visibility = hidden</i>. In the store view scope you can also rename options, reorder, set custom prices and change other properties."
"Don't use name attribute here. It is in the field below.","Don't use name attribute here. It is in the field below."
"In a Popup after clicking ""Add to Cart""","In a Popup after clicking ""Add to Cart"""
"In a Popup after clicking ""Configure""","In a Popup after clicking ""Configure"""
"Please, enter the text shown in the image into the field below","Please, enter the text shown in the image into the field below"
"Product doesn't have custom options","Product doesn't have custom options"
"The size of image '%s' could not be detected","The size of image '%s' could not be detected"
"You can't remove section with fields on a store view. Move fields to another section before remove","You can't remove section with fields on a store view. Move fields to another section before remove"
"example: png, jpg, jpeg, gif","example: png, jpg, jpeg, gif"
%s products have been changed,%s products have been changed
-- Please Select --,-- Please Select --
--No validation--,--No validation--
--select default field--,--select default field--
A template with such a name already exists,A template with such a name already exists
Action,Action
Add New Section,Add New Section
Add New Template,Add New Template
Add Option,Add Option
Add to Cart,Add to Cart
Alikon mod,Alikon mod
All Groups,All Groups
Allowed File Extensions,Allowed File Extensions
Appearance,Appearance
Apply,Apply
Are you sure want to delete selected templates?,Are you sure want to delete selected templates?
Are you sure want to reset the form? This will discard all changes you have made.,Are you sure want to reset the form? This will discard all changes you have made.
Base Img?,Base Img?
Bundle with dynamic pricing cannot include custom defined options. Options will not be saved.,Bundle with dynamic pricing cannot include custom defined options. Options will not be saved.
Buy %1 for %2 each,Buy %1 for %2 each
CSS Adjustments (for advanced use only),CSS Adjustments (for advanced use only)
CSS Class,CSS Class
Cancel,Cancel
Cannot change quantity. Please remove unnecessary items.,Cannot change quantity. Please remove unnecessary items.
Cannot delete this item. Field should contain at least one item.,Cannot delete this item. Field should contain at least one item.
Cannot resize table. Please remove or move bordered fields.,Cannot resize table. Please remove or move bordered fields.
Captcha form,Captcha form
Captcha,Captcha
Carriage return,Carriage return
Check Boxes,Check Boxes
Checkbox(es),Checkbox(es)
Checked,Checked
Click Add to Cart to Configure,Click Add to Cart to Configure
Columns,Columns
Comment,Comment
Configuration,Configuration
Configure %s,Configure %s
Configure,Configure
Copy Custom Options 1 to Many,Copy Custom Options 1 to Many
Create New Template,Create New Template
Create or Update Existing Template,Create or Update Existing Template
Css Class,Css Class
Customer Groups,Customer Groups
DIV/HTML Text,DIV/HTML Text
Date & Time,Date & Time
Date,Date
Def,Def
Default Value,Default Value
Default configuration will be used for the store view. Uncheck checkbox &quot;Use Default&quot; to create custom.,Default configuration will be used for the store view. Uncheck checkbox &quot;Use Default&quot; to create custom.
Del,Del
Delete,Delete
Disabled,Disabled
Do you really want to copy configuration from selected element?,Do you really want to copy configuration from selected element?
Do you really want to remove all fields?,Do you really want to remove all fields?
Do you really want to remove this field?,Do you really want to remove this field?
