A total of %1 tab(s) have been deleted.,A total of %1 tab(s) have been deleted.
A total of %1 tab(s) have been disabled.,A total of %1 tab(s) have been disabled.
A total of %1 tab(s) have been enabled.,A total of %1 tab(s) have been enabled.
Action,Action
Actions,Actions
Add New Tab,Add New Tab
Add New Tab,Add New Tab
All Groups,All Groups
Always,Always
Are you sure want to disable the tab(s)?,Are you sure want to disable the tab(s)?
Are you sure want to enable the tab(s)?,Are you sure want to enable the tab(s)?
Are you sure want to remove the tab(s)?,Are you sure want to remove the tab(s)?
Content,Content
Customer Groups,Customer Groups
Delete,Delete
Disable,Disable
Disabled,Disabled
Edit Tab,Edit Tab
Edit,Edit
Enable,Enable
Enabled,Enabled
Export to:,Export to:
Label,Label
Manage Product Tabs,Manage Product Tabs
Manage Products Tab,Manage Products Tab
Manage Tabs,Manage Tabs
Mass Actions,Mass Actions
New Tab,New Tab
Next page,Next page
Order,Order
Previous page,Previous page
Product Tab Edit,Product Tab Edit
Product Tabs,Product Tabs
Reset Filter,Reset Filter
Reviews %1,Reviews %1
Reviews,Reviews
Save and Continue Edit,Save and Continue Edit
Save,Save
Select All,Select All
Show if Not Purchased,Show if Not Purchased
Show if Product Purchased,Show if Product Purchased
Show if Purchased,Show if Purchased
Show if purchased,Show if purchased
Status,Status
Tab Label,Tab Label
Tab,Tab
Tabs,Tabs
The tab has been deleted.,The tab has been deleted.
This tab does not exist.,This tab does not exist.
Unselect All,Unselect All
of %1,of %1
per page,per page
records found,records found
selected,selected
