" not found!"," not found!"
" should be numeric"," should be numeric"
" should not be empty"," should not be empty"
"&laquo; Previous","&laquo; Previous"
&lt;h1&gt;,&lt;h1&gt;
&lt;h2&gt;,&lt;h2&gt;
&lt;h3&gt;,&lt;h3&gt;
&lt;h4&gt;,&lt;h4&gt;
&lt;h5&gt;,&lt;h5&gt;
&lt;h6&gt;,&lt;h6&gt;
&lt;p&gt;,&lt;p&gt;
&lt;rs-layer&gt;,&lt;rs-layer&gt;
&lt;span&gt;,&lt;span&gt;
"(Font: SIL OFL 1.1, CSS: MIT License)","(Font: SIL OFL 1.1, CSS: MIT License)"
(Re)Load,(Re)Load
"(Re)Load URL","(Re)Load URL"
"(i.e. lazy-src)","(i.e. lazy-src)"
"(ie. cms_page_view,catalog_product_view,about-us)","(ie. cms_page_view,catalog_product_view,about-us)"
"(ie. http://fonts.useso.com/css?family for chinese Environment)","(ie. http://fonts.useso.com/css?family for chinese Environment)"
"(x%, y%)","(x%, y%)"
"* All settings adjusted by the guide can be changed later.<br>Click the <strong>Help Icon</strong> to find options & documentation","* All settings adjusted by the guide can be changed later.<br>Click the <strong>Help Icon</strong> to find options & documentation"
", making it even easier for developers to customize, share, and re-use outside of Slider Revolution.",", making it even easier for developers to customize, share, and re-use outside of Slider Revolution."
"1 Purchase Code per Website","1 Purchase Code per Website"
"1 Spike Bottom","1 Spike Bottom"
"1 Spike Middle","1 Spike Middle"
"1 Spike Top","1 Spike Top"
"2 x 2 Black","2 x 2 Black"
"2 x 2 White","2 x 2 White"
"2D Rotation","2D Rotation"
"2D Rotation Offset","2D Rotation Offset"
"2d rotation movement for the displacement map","2d rotation movement for the displacement map"
"3 x 3 Black","3 x 3 Black"
"3 x 3 White","3 x 3 White"
"3D Crop Fix","3D Crop Fix"
"3D Crop Fix (z)","3D Crop Fix (z)"
"3D Effects Enabled","3D Effects Enabled"
"3D Settings","3D Settings"
"3D Shadow","3D Shadow"
"3rd Party Lazy Loading Data","3rd Party Lazy Loading Data"
"60+ pre-built animations, animation duration, easing","60+ pre-built animations, animation duration, easing"
"<b>Font Awesome 4.6.3</b> by @davegandy - http://fontawesome.io - @fontawesome <br>License -","<b>Font Awesome 4.6.3</b> by @davegandy - http://fontawesome.io - @fontawesome <br>License -"
