" not found!",未找到！
" should be numeric",应该是数字
" should not be empty",不应该是空的
"* All settings adjusted by the guide can be changed later.<br>Click the <strong>Help Icon</strong> to find options & documentation","*以后可以更改指南调整的所有设置。<br>单击<strong>帮助图标</ strong>以查找选项和文档"
"1 Purchase Code per Website",1每个网站的购买代码
"2 x 2 Black","2 x 2黑色"
"2 x 2 White","2 x 2白色"
"3 x 3 Black","3 x 3黑色"
"3 x 3 White","3 x 3白色"
"3D Effects Enabled","3D 效果已启用"
"3D Settings",3D设置
"A Slider with the given alias already exists",已存在具有给定别名的滑块
"Access Secret",访问秘密
"Access Token",访问令牌
"Action Delay",动作延迟
"Action Type",行动类型
Actions,操作
"Activate Slider Revolution for <a href=""https://revolution.themepunch.com/direct-customer-benefits/"" target=""_blank"">Premium Benefits (e.g. Live Updates)</a>.","启用 Slider Revolution 对于 <a href=""https://revolution.themepunch.com/direct-customer-benefits/"" target=""_blank"">优惠（eg. 实时更新）</a>."
Activation,激活
"Active Transition Order",主动过渡订单
"Add Action to ",添加动作
"Add Folder",新增文件夹
"Add Layer",添加图层
"Add LineBreak After","加 LineBreak 后"
"Add LineBreak Before","加 LineBreak 之前"
"Add New Meta","添新 Meta"
"Add New Navigation ",添加新导航
"Add Slide(s)","加 Slide(s)"
"Add Transition",添加转换
"Add to Selection",添加到选择
Additional,额外
"Admin Thumb",管理员拇指
"Adv. Style",高级样式
Advanced,高级
"Advanced Settings",高级设置
"After Action",行动之后
Album,专辑
Alias,别号
Aligment,对准
Align,对齐
"Aligned by",对齐通过
All,所有
"All Layers",所有图层
"Allow Fullscreen",允许全屏
"Alt. Image",备用图片
"Amount of Slides","金额 Slides"
"Anim From",动画来自
"Anim To",动画到
"Animate to ""Start"" in Loop",动画到“开始”在循环中
Animation,动画
"Animation Duration",动画持续时间
"Animation Duration in ms",动画持续时间以毫秒为单位
"Animation Ease",动画轻松
"Animation View",动画视图
Arguments,参数
"Arrow Style",箭头样式
"Arrow Type",箭头类型
Arrows,箭头
"As Modal",如弹出
Ascending,上升
"Aspect Ratio",宽高比
"Attach to BG",附上BG
Attributes,属性
Audio,音频
Auto,汽车
"Auto Play",自动播放
"Auto Rotate",自动旋转
"Auto Rotate Slideshow",自动旋转幻灯片
"Available Version",可用版本
"BG 3D Depth","BG 3D深度"
"BG Color",BG颜色
"BG Filter",BG过滤器
"BG Fit","BG 适合"
"BG Image",BG图像
"BG Speed",BG速度
"BG in Frame",BG在框架中
Back,背部
Background,背景
"Background Color",背景颜色
"Background Hover",背景悬停
Backward,向后
"Basic Transforms",基本变换
Basics,基本
"Bearer Token is good, check your query","Bearer Token很好，请检查您的查询"
Behavior,行为
"Behind Layers (Back)",层背后（背面）
"Blank slide",空白幻灯片
"Blend Mode",混合模式
Block,块
"Block Color",块颜色
"Block Scroll",阻止滚动
"Block to Bottom",阻止底部
"Block to Left",阻止到左边
"Block to Right",阻止到右边
"Block to Top",阻止顶部
Blur,模糊
"Body Class",身体类
Border,边界
"Border Color",边框颜色
"Border Hover",边境悬停
"Border Style",边框风格
"Border, Overlay & Shadow","边框，覆盖 & 阴影"
Both,都
Bottom,底部
"Box Shadow",盒子阴影
"Break At",休息时间
"Browser Width",浏览器宽度
"Browser behavior",浏览器行为
"Bulk Slide",批量幻灯片
Bullets,子弹
"Bullets Style",子弹风格
"Bullets Type",子弹类型
"Bullets Visibility",子弹可见性
Button,按键
"By Compressing Output",通过压缩输出
"By Echo Output",通过回声输出
"CSS/JS Editor","CSS / JS编辑器"
"CUSTOM CSS","习惯 CSS"
"CUSTOM JS","习惯 JS"
"Cache (sec)","高速缓存 (第二)"
"Cache (sec):","高速缓存 (第二):"
"Call this function to pause the slider.","调用此函数暂停 slider。"
"Call this function to play the slider if it is paused.","调用此函数来播放 slider 如果它被暂停。"
"Call this function to start the slider.","将此功能称为 slider。"
"Can not be Empty",不能为空
"Can not be rendered in Editor. Please preview in Frontend.",无法在编辑器中呈现。请在前端预览。
"Can't create zip file: ",无法创建zip文件：
"Can't modify a default preset of default navigations",无法修改默认预设的默认导航
Capitalize,大写
Carousel,圆盘传送带
"Carousel Layout",轮播布局
Categories,分类
Categories:,分类：
Channel,渠道
"Channel ID",频道ID
"Check for Updates",检查更新
"Choose Image",选择图像
"Choose Slide Template","选择 Slide 模板"
Circle,圈
Clear,明确
Click,点击
Color,颜色
"Color in Frame",框架中的颜色
Colored,有色
"Column Settings",列设置
Columns,列
"Coming Slide as jQuery Object","未来 Slide 如 jQuery 对象"
"Connect with ThemePunch","与连接 ThemePunch"
"Cons. Secret",消费者。秘密
"Consumer Key",消费者密钥
Content,内容
"Content Based",基于内容
"Content and Width Based",基于内容和宽度
Controls,控制
Copy,复制
"Copy Embed Code",复制嵌入代码
"Copy Shortcode",复制短代码
"Copyright & Licensing - Slider Revolution Library","版权和许可 -  Slider Revolution Library"
Corners,角落
Cover,覆盖
"Cover Color",封面颜色
"Creation Ascending",创造升序
"Current <li> Index",当前<li>指数
"Current Slide","当前 Slide"
"Current Slide as jQuery Object","当前 Slide 如 jQuery 对象"
Cursor,光标
Curved,弯曲
Custom,习惯
"Custom CSS","习惯 CSS"
"Custom Inline & Hover CSS",自定义内联和悬停CSS
"Custom Size",习惯尺寸
CustomCSS,"习惯 CSS"
Customization,定制
Dashed,虚线
Date,日期
"Date Modified",修改日期
"Date Published",发布日期
"Date created",创建日期
"Debug Mode",调试模式
"Decision Modal Title",决策模式标题
"Decrease Module Height",降低模块高度
Default,默认
"Default (Global Settings)",默认（全局设置）
"Default Basics",默认基础知识
"Default New Layer Settings",默认新图层设置
"Default Setting",默认设置
"Default Settings for Layer",图层的默认设置
Defaults,默认
Delete,删除
"Depricated Function !<br>Only visible by Rendering. Limited influence on Styled Layers. Custom CSS Inline will be removed in Version 6.2","已删除的功能！<br>仅可通过渲染查看。对样式图层的影响有限。习惯CSS 内联将在版本中删除 6.2"
Depths,深渊
"Deregister this Code",取消注册此代码
Descending,降序
Description,描述
Desktop,桌面
"Desktop Swipe Enabled",桌面滑动已启用
"Diagonal From",对角线
"Diff. Anim",DIFF。动画
Dimension,尺寸
Direction,方向
Disable,禁用
"Disable Blur/Focus behav.","禁用 模糊/焦点行为."
"Disable Ken B.","禁用Ken Burns"
"Disable Mobile",禁用手机
"Disable Slider",禁用Slider
"Disable on Mobile",禁用手机
Disabled,残
"Disabled - Time Based","禁用 - 基于时间"
Display,显示
"Display Mode in Column",列中的显示模式
"Display a certain photoset from a user",显示用户的某个照片集
"Display a gallery",显示图库
"Do It",做吧
Docs,文件
"Dont Do It",不要这样做
"Dont Force Fullwidth",不要强制全宽
Dotted,带点
Double,双
"Drag to Select",拖动到选择
Duplicate,重复
Duration,持续时间
"Dynamic Viewport Loading",动态视口加载
"Ease Speed",缓解速度
Easing,缓解
"Edge to Middle",边缘到中间
"Editor View",编辑观点
Effect,影响
Effects,效果
"Empty Placeholder",空占位符
"Enable Loop Effects",启用循环效果
"Enable Spikes",启用峰值
"Enable Timeline Loops",启用时间轴循环
Enabled,启用
"Enabled - Scroll Based","已启用 - 基于滚动"
End,结束
"End Frame",结束帧
"Enter Access Secret","输入Access Secret"
"Enter Access Token",输入访问令牌
"Enter Api Key","输入Api Key"
"Enter Channel Name",输入频道名称
"Enter Consumer Key",输入消费者密钥
"Enter Container .class or #id","输入Container .class或#id"
"Enter External URL",输入外部URL
"Enter FaceBook Page URL",输入FaceBook页面URL
"Enter Gallery URL",输入图库URL
"Enter Group Name",输入组名称
"Enter Group URL",输入组URL
"Enter Image URL",输入图片网址
"Enter Link",输入链接
"Enter MPEG Source","输入MPEG Source"
"Enter Purchase Code",输入购买代码
"Enter Secret",输入秘密
"Enter Twitter Name",输入Twitter名称
"Enter User Name",输入用户名
"Enter User URL",输入用户URL
"Enter Video ID",输入视频ID
"Enter Vimeo ID","输入Vimeo ID"
"Enter YouTube Channel ID",输入YouTube频道ID
"Enter YouTube ID","输入YouTube ID"
