"(*.jpg, *.png, *.gif)","(*.jpg, *.png, *.gif)"
"A total of %1 record(s) have been deleted.","A total of %1 record(s) have been deleted."
"An error occurred while deleting record(s).","An error occurred while deleting record(s)."
"Choose Video Type","Choose Video Type"
"Content","Content"
"Create New Video","Create New Video"
"Delete Video","Delete Video"
"Disable","Disable"
"Edit Video '%1'","Edit Video '%1'"
"Enable","Enable"
"Enter Youtube Or Vimeo URL","Enter Youtube Or Vimeo URL"
"ID","ID"
"Media File","Media File"
"New Video","New Video"
"Please Select Videos.","Please Select Videos."
"Save Video","Save Video"
"Save and Continue Edit","Save and Continue Edit"
"Something went wrong while saving the Video.","Something went wrong while saving the Video."
"Status","Status"
"The Video has been deleted.","The Video has been deleted."
"The Video has been saved.","The Video has been saved."
"This Video no longer exists.","This Video no longer exists."
"Upload Video","Upload Video"
"Video %1","Video %1"
"Video Information","Video Information"
"Video Thumbnail","Video Thumbnail"
"Video Title","Video Title"
"Video URL","Video URL"
"Video to delete was not found.","Video to delete was not found."
"Video","Video"
"Videos","Videos"
"Vimeo URL","Vimeo URL"
"Youtube URL","Youtube URL"
