QuantityBreak,CatalogPrice,StandardNetPrice,DiscountCode,AddColorPrice,AddColorDiscountCode,AddColorNetPrice,Quantities_Id,Price_Id,CurrencyCode,AsLowAsCatalog,AsLowAsNet,Prices_Id,DecorationMethod_Id,PrintMethod,Select an Option Below,PriceMethod,PricingKey,DecorationMethods_Id,Product_Id,ItemNumber,BrandName,AdditionalCharges_Id,AdditionalChargeItemDescription,AdditionalChargeCatalogPrice,AdditionalChargeDiscountCode,AdditionalChargeNetPrice,SetupChargeCatalogPrice,NetSetupCharge,NetRepeatSetupCharge,MaxNumSpotColors,MaximumColorsAllowed
25,14.59,8.754,C,0.5,G,0.4,0,0,USD,11.59,6.954,0,0,See Price Method,Place Order With Logo,1 Color 1 Location,TP,0,0,BG139,The Bag Factory,0,Drop Shipment Charge,8.5,G,6.8,50,40,20,3,5
50,13.39,8.034,C,0.5,G,0.4,0,0,USD,11.59,6.954,0,0,See Price Method,Place Order With Logo,1 Color 1 Location,TP,0,0,BG139,The Bag Factory,0,Drop Shipment Charge,8.5,G,6.8,50,40,20,3,5
100,12.49,7.494,C,0.5,G,0.4,0,0,USD,11.59,6.954,0,0,See Price Method,Place Order With Logo,1 Color 1 Location,TP,0,0,BG139,The Bag Factory,0,Drop Shipment Charge,8.5,G,6.8,50,40,20,3,5
250,11.59,6.954,C,0.5,G,0.4,0,0,USD,11.59,6.954,0,0,See Price Method,Place Order With Logo,1 Color 1 Location,TP,0,0,BG139,The Bag Factory,0,Drop Shipment Charge,8.5,G,6.8,50,40,20,3,5
1,11.59,6.96,C,,,,2,2,USD,0,6.96,1,1,Random Sample,Order Sample,1 Color 1 Location,RS,0,0,BG139,The Bag Factory,1,Drop Shipment Charge,8.5,G,6.8,,,,0,0
25,16.09,9.654,C,,,,4,4,USD,13.09,7.854,2,2,See Price Method,Place Order With Logo,4 Color Process,T4,0,0,BG139,The Bag Factory,2,Drop Shipment Charge,8.5,G,6.8,75,60,60,0,0
50,14.89,8.934,C,,,,4,4,USD,13.09,7.854,2,2,See Price Method,Place Order With Logo,4 Color Process,T4,0,0,BG139,The Bag Factory,2,Drop Shipment Charge,8.5,G,6.8,75,60,60,0,0
100,13.99,8.394,C,,,,4,4,USD,13.09,7.854,2,2,See Price Method,Place Order With Logo,4 Color Process,T4,0,0,BG139,The Bag Factory,2,Drop Shipment Charge,8.5,G,6.8,75,60,60,0,0
250,13.09,7.854,C,,,,4,4,USD,13.09,7.854,2,2,See Price Method,Place Order With Logo,4 Color Process,T4,0,0,BG139,The Bag Factory,2,Drop Shipment Charge,8.5,G,6.8,75,60,60,0,0
1,13.09,7.86,C,,,,6,6,USD,0,7.86,3,3,Random Sample,Order Sample,4 Color Process,RS,0,0,BG139,The Bag Factory,3,Drop Shipment Charge,8.5,G,6.8,,,,0,0
25,11.59,6.954,C,,,,8,8,USD,11.59,6.954,4,4,See Price Method,Order Without Logo,Blank,BL,0,0,BG139,The Bag Factory,4,Drop Shipment Charge,8.5,G,6.8,,,,0,
50,11.59,6.954,C,,,,8,8,USD,11.59,6.954,4,4,See Price Method,Order Without Logo,Blank,BL,0,0,BG139,The Bag Factory,4,Drop Shipment Charge,8.5,G,6.8,,,,0,
100,11.59,6.954,C,,,,8,8,USD,11.59,6.954,4,4,See Price Method,Order Without Logo,Blank,BL,0,0,BG139,The Bag Factory,4,Drop Shipment Charge,8.5,G,6.8,,,,0,
250,11.59,6.954,C,,,,8,8,USD,11.59,6.954,4,4,See Price Method,Order Without Logo,Blank,BL,0,0,BG139,The Bag Factory,4,Drop Shipment Charge,8.5,G,6.8,,,,0,
25,22.79,13.674,C,0.5,G,0.4,10,10,USD,17.99,10.794,5,5,See Price Method,Place Order With Logo,1 Color 1 Location,TP,1,1,BG140,The Bag Factory,5,Drop Shipment Charge,8.5,G,6.8,50,40,20,3,5
50,20.89,12.534,C,0.5,G,0.4,10,10,USD,17.99,10.794,5,5,See Price Method,Place Order With Logo,1 Color 1 Location,TP,1,1,BG140,The Bag Factory,5,Drop Shipment Charge,8.5,G,6.8,50,40,20,3,5
100,19.49,11.694,C,0.5,G,0.4,10,10,USD,17.99,10.794,5,5,See Price Method,Place Order With Logo,1 Color 1 Location,TP,1,1,BG140,The Bag Factory,5,Drop Shipment Charge,8.5,G,6.8,50,40,20,3,5
250,17.99,10.794,C,0.5,G,0.4,10,10,USD,17.99,10.794,5,5,See Price Method,Place Order With Logo,1 Color 1 Location,TP,1,1,BG140,The Bag Factory,5,Drop Shipment Charge,8.5,G,6.8,50,40,20,3,5
1,17.99,10.8,C,0.5,G,0,12,12,USD,0,10.8,6,6,Random Sample,Order Sample,1 Color 1 Location,RS,1,1,BG140,The Bag Factory,6,Drop Shipment Charge,8.5,G,6.8,,,,0,0
25,24.29,14.574,C,,,,14,14,USD,19.49,11.694,7,7,See Price Method,Place Order With Logo,4 Color Process,T4,1,1,BG140,The Bag Factory,7,Drop Shipment Charge,8.5,G,6.8,75,60,60,0,0
50,22.39,13.434,C,,,,14,14,USD,19.49,11.694,7,7,See Price Method,Place Order With Logo,4 Color Process,T4,1,1,BG140,The Bag Factory,7,Drop Shipment Charge,8.5,G,6.8,75,60,60,0,0
100,20.99,12.594,C,,,,14,14,USD,19.49,11.694,7,7,See Price Method,Place Order With Logo,4 Color Process,T4,1,1,BG140,The Bag Factory,7,Drop Shipment Charge,8.5,G,6.8,75,60,60,0,0
