"ItemNumber","BrandName","PriceMethod","PricingKey","MaxNumSpotColors","stock_pms_swatch","stock_pms"
"1070","Perfect Line","1 Color 1 Location","P3","3","<img src ="" 185red.gif "" alt ="" 185 Red ""  /> 185 Red (PMS185)","185 Red (PMS185)"
"1070","Perfect Line","1 Color 1 Location","P3","3","<img src ="" 186red.gif "" alt ="" 186 Red ""  /> 186 Red (PMS186)","186 Red (PMS186)"
"1070","Perfect Line","1 Color 1 Location","P3","3","<img src ="" 189pink.gif "" alt ="" 189 Pink ""  /> 189 Pink (PMS189)","189 Pink (PMS189)"
"1070","Perfect Line","1 Color 1 Location","P3","3","<img src ="" 211pink.gif "" alt ="" 211 Pink ""  /> 211 Pink (PMS211)","211 Pink (PMS211)"
"1070","Perfect Line","1 Color 1 Location","P3","3","<img src ="" 300blue.gif "" alt ="" 300 Blue ""  /> 300 Blue (PMS300)","300 Blue (PMS300)"
"1070","Perfect Line","1 Color 1 Location","P3","3","<img src ="" brown.gif "" alt ="" 469 Brown ""  /> 469 Brown (PMS469)","469 Brown (PMS469)"
"1070","Perfect Line","1 Color 1 Location","P3","3","<img src ="" 478brown.gif "" alt ="" 478 Brown ""  /> 478 Brown (PMS478)","478 Brown (PMS478)"
"1070","Perfect Line","1 Color 1 Location","P3","3","<img src ="" red.gif "" alt ="" 485 Red ""  /> 485 Red (PMS485)","485 Red (PMS485)"
"1070","Perfect Line","1 Color 1 Location","P3","3","<img src ="" black.gif "" alt ="" Black ""  /> Black (Pantone Black)","Black (Pantone Black)"
"1070","Perfect Line","1 Color 1 Location","P3","3","<img src ="" burgundy.gif "" alt ="" Burgundy ""  /> Burgundy (PMS202)","Burgundy (PMS202)"
"1070","Perfect Line","1 Color 1 Location","P3","3","<img src ="" 281navy.gif "" alt ="" Dark Blue/Navy ""  /> Dark Blue/Navy (PMS281)","Dark Blue/Navy (PMS281)"
"1070","Perfect Line","1 Color 1 Location","P3","3","<img src ="" 350forest.gif "" alt ="" Forest Green ""  /> Forest Green (PMS350)","Forest Green (PMS350)"
