"ItemNumber","PricingKey","PriceMethod","MaxNumSpotColors","stock_pms_swatch","stock_pms"
"BG139","TP","1 Color 1 Location","3","<img src ="" athleticgold.gif "" alt ="" Athletic Gold ""  /> Athletic Gold (PMS1235)","Athletic Gold (PMS1235)"
"BG139","TP","1 Color 1 Location","3","<img src ="" black.gif "" alt ="" Black ""  /> Black (Pantone Black)","Black (Pantone Black)"
"BG139","TP","1 Color 1 Location","3","<img src ="" brown.gif "" alt ="" Brown ""  /> Brown (PMS469)","Brown (PMS469)"
"BG139","TP","1 Color 1 Location","3","<img src ="" burgundy.gif "" alt ="" Burgundy ""  /> Burgundy (PMS202)","Burgundy (PMS202)"
"BG139","TP","1 Color 1 Location","3","<img src ="" navy.gif "" alt ="" Dark Blue/Navy ""  /> Dark Blue/Navy (PMS281)","Dark Blue/Navy (PMS281)"
"BG139","TP","1 Color 1 Location","3","<img src ="" darkgreen.gif "" alt ="" Dark Green ""  /> Dark Green (PMS349)","Dark Green (PMS349)"
"BG139","TP","1 Color 1 Location","3","<img src ="" darkorange.gif "" alt ="" Dark Orange ""  /> Dark Orange (PMS167)","Dark Orange (PMS167)"
"BG139","TP","1 Color 1 Location","3","<img src ="" goldmetallic.gif "" alt ="" Gold Metallic ""  /> Gold Metallic (PMS871)","Gold Metallic (PMS871)"
"BG139","TP","1 Color 1 Location","3","<img src ="" gray.gif "" alt ="" Gray ""  /> Gray (PMS430)","Gray (PMS430)"
"BG139","TP","1 Color 1 Location","3","<img src ="" green.gif "" alt ="" Green ""  /> Green (PMS347)","Green (PMS347)"
"BG139","TP","1 Color 1 Location","3","<img src ="" khaki.gif "" alt ="" Khaki ""  /> Khaki (PMS466)","Khaki (PMS466)"
"BG139","TP","1 Color 1 Location","3","<img src ="" lightblue.gif "" alt ="" Light Blue ""  /> Light Blue (Process Blue)","Light Blue (Process Blue)"
"BG139","TP","1 Color 1 Location","3","<img src ="" lightgray.gif "" alt ="" Light Gray ""  /> Light Gray (PMS420)","Light Gray (PMS420)"
