"ItemNumber","BrandName","PriceMethod","PricingKey","AdditionalChargeItemDescriptin","AdditionalChargeCatalogPrice","AdditionalChargeNetPrice","AdditionalChargeDiscountCode","dropshipchg","handlingfee3rdparty","less_than_minimum_qty","dropshipnetchg","handlingfee3rdpartynetchg","less_than_minimum_qty_netchg","additional_stitches_catalog_price_em","digitizing_fee_catalog_price_em","personalization_catalog_price_em","swatchproof_catalog_price_em","additional_stitches_net_price_em","digitizing_fee_net_price_em","personalization_net_price_em","swatchproof_net_price_em","setupchargecatalogprice_tp","setupchargecatalogprice_t4","setupchargecatalogprice_em","setupchargecatalogprice_db","setupchargecatalogprice_dm","setupchargecatalogprice_cg","netsetupcharge_tp","netsetupcharge_t4","netsetupcharge_em","netsetupcharge_dm","netsetupcharge_cg","netsetupcharge_db","setupchargedescription_tp","setupchargedescription_t4","setupchargedescription_em","setupchargedescription_dm","setupchargedescription_cg","minimumorderquantity_tp","minimumorderquantity_t4","minimumorderquantity_em","minimumorderquantity_cg","minimumorderquantity_rs","minimumorderquantity_bl","minimumorderquantity_dm","minimumorderquantity_db"
"1070","Perfect Line","1 Color 1 Location","P3","PMS Color Match","30","24","G",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1070","Perfect Line","1 Color 1 Location","P3","Copy Change","50","40","G",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1070","Perfect Line","1 Color 1 Location","P3","Repeat Setup","25","20","G",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1070","Perfect Line","1 Color 1 Location","P3","Less than Minimum Qty Chg","50","40","G",,,"50",,,"40",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1070","Perfect Line","1 Color 1 Location","P3","Drop Shipment Charge","8.5","6.8","G","8.5",,,"6.8",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1070","Perfect Line","1 Color 1 Location","P3","Handling Fee- 3rd Party Shipping","12.5","10","G",,"12.5",,,"10",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1070","Perfect Line","4 Color Process","P6","Copy Change","75","60","G",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1070","Perfect Line","4 Color Process","P6","Repeat Setup","75","60","G",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1070","Perfect Line","4 Color Process","P6","Less than Minimum Qty Chg","50","40","G",,,"50",,,"40",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1070","Perfect Line","4 Color Process","P6","Drop Shipment Charge","8.5","6.8","G","8.5",,,"6.8",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
