ItemNumber,BrandName,QuantityBreak,CatalogPrice,StandardNetPrice,DiscountCode,AddColorPrice,AddColorNetPrice,AddColorDiscountCode,PriceMethod,Select an Option Below,PrintMethod,PricingKey,SetupChargeCatalogPrice,NetSetupCharge,SetupChargeDiscountCode
118,Perfect Line,300,0.99,0.594,C,0.13,0.078,C,1 Color 1 Location,Order Without Logo,See Price Method,P2,50,40,G
118,Perfect Line,600,0.79,0.474,C,0.13,0.078,C,1 Color 1 Location,Order Without Logo,See Price Method,P2,50,40,G
118,Perfect Line,1200,0.69,0.414,C,0.13,0.078,C,1 Color 1 Location,Order Without Logo,See Price Method,P2,50,40,G
118,Perfect Line,2400,0.59,0.354,C,0.13,0.078,C,1 Color 1 Location,Order Without Logo,See Price Method,P2,50,40,G
118,Perfect Line,4800,0.54,0.324,C,0.13,0.078,C,1 Color 1 Location,Order Without Logo,See Price Method,P2,50,40,G
118,Perfect Line,1,0.54,0.001,C,,,,1 Color 1 Location,Order Sample,Random Sample,RS,,,
118,Perfect Line,300,1.59,0.954,C,,,,4 Color Process,Order Without Logo,See Price Method,P7,75,40,G
118,Perfect Line,600,1.39,0.834,C,,,,4 Color Process,Order Without Logo,See Price Method,P7,75,40,G
118,Perfect Line,1200,1.29,0.774,C,,,,4 Color Process,Order Without Logo,See Price Method,P7,75,40,G
118,Perfect Line,2400,1.19,0.714,C,,,,4 Color Process,Order Without Logo,See Price Method,P7,75,40,G
118,Perfect Line,4800,1.14,0.684,C,,,,4 Color Process,Order Without Logo,See Price Method,P7,75,40,G
118,Perfect Line,1,1.14,0.001,C,,,,4 Color Process,Order Sample,Random Sample,RS,,,
118,Perfect Line,300,0.79,0.474,C,,,,Blank,Order Without Logo,See Price Method,P0,,,
118,Perfect Line,600,0.69,0.414,C,,,,Blank,Order Without Logo,See Price Method,P0,,,
118,Perfect Line,1200,0.59,0.354,C,,,,Blank,Order Without Logo,See Price Method,P0,,,
118,Perfect Line,2400,0.54,0.324,C,,,,Blank,Order Without Logo,See Price Method,P0,,,
118,Perfect Line,4800,0.54,0.324,C,,,,Blank,Order Without Logo,See Price Method,P0,,,
118,Perfect Line,300,1.69,1.014,C,,,,Debossed,Order Without Logo,See Price Method,PD,100,80,G
118,Perfect Line,600,1.49,0.894,C,,,,Debossed,Order Without Logo,See Price Method,PD,100,80,G
118,Perfect Line,1200,1.39,0.834,C,,,,Debossed,Order Without Logo,See Price Method,PD,100,80,G
118,Perfect Line,2400,1.29,0.774,C,,,,Debossed,Order Without Logo,See Price Method,PD,100,80,G
118,Perfect Line,4800,1.19,0.714,C,,,,Debossed,Order Without Logo,See Price Method,PD,100,80,G
118,Perfect Line,1,1.19,0.001,C,,,,Debossed,Order Sample,Random Sample,RS,,,
118,Perfect Line,300,1.69,1.014,C,,,,Hot Stamp,Order Without Logo,See Price Method,P8,100,80,G
118,Perfect Line,600,1.49,0.894,C,,,,Hot Stamp,Order Without Logo,See Price Method,P8,100,80,G
118,Perfect Line,1200,1.39,0.834,C,,,,Hot Stamp,Order Without Logo,See Price Method,P8,100,80,G
118,Perfect Line,2400,1.29,0.774,C,,,,Hot Stamp,Order Without Logo,See Price Method,P8,100,80,G
118,Perfect Line,4800,1.19,0.714,C,,,,Hot Stamp,Order Without Logo,See Price Method,P8,100,80,G
118,Perfect Line,1,1.19,0.001,C,,,,Hot Stamp,Order Sample,Random Sample,RS,,,
120,Perfect Line,300,1.29,0.774,C,,,,Blank,Order Without Logo,See Price Method,P0,,,
120,Perfect Line,600,1.09,0.654,C,,,,Blank,Order Without Logo,See Price Method,P0,,,
120,Perfect Line,1200,0.99,0.594,C,,,,Blank,Order Without Logo,See Price Method,P0,,,
120,Perfect Line,2400,0.89,0.534,C,,,,Blank,Order Without Logo,See Price Method,P0,,,
120,Perfect Line,4800,0.79,0.474,C,,,,Blank,Order Without Logo,See Price Method,P0,,,
120,Perfect Line,300,1.43,0.858,C,0.1,0.08,G,1 Color 1 Location,Order Without Logo,See Price Method,P2,50,40,G
120,Perfect Line,600,1.23,0.738,C,0.1,0.08,G,1 Color 1 Location,Order Without Logo,See Price Method,P2,50,40,G
120,Perfect Line,1200,1.13,0.678,C,0.1,0.08,G,1 Color 1 Location,Order Without Logo,See Price Method,P2,50,40,G
120,Perfect Line,2400,1.03,0.618,C,0.1,0.08,G,1 Color 1 Location,Order Without Logo,See Price Method,P2,50,40,G
120,Perfect Line,4800,0.93,0.558,C,0.1,0.08,G,1 Color 1 Location,Order Without Logo,See Price Method,P2,50,40,G
120,Perfect Line,1,0.93,0.001,C,,,,1 Color 1 Location,Order Sample,Random Sample,RS,,,
121,Perfect Line,300,1.19,0.714,C,,,,Blank,Order Without Logo,See Price Method,P0,,,
121,Perfect Line,600,0.99,0.594,C,,,,Blank,Order Without Logo,See Price Method,P0,,,
121,Perfect Line,1200,0.89,0.534,C,,,,Blank,Order Without Logo,See Price Method,P0,,,
121,Perfect Line,2400,0.79,0.474,C,,,,Blank,Order Without Logo,See Price Method,P0,,,
121,Perfect Line,4800,0.69,0.414,C,,,,Blank,Order Without Logo,See Price Method,P0,,,
121,Perfect Line,300,1.33,0.798,C,0.1,0.08,G,1 Color 1 Location,Order Without Logo,See Price Method,P2,50,40,G
121,Perfect Line,600,1.13,0.678,C,0.1,0.08,G,1 Color 1 Location,Order Without Logo,See Price Method,P2,50,40,G
121,Perfect Line,1200,1.03,0.618,C,0.1,0.08,G,1 Color 1 Location,Order Without Logo,See Price Method,P2,50,40,G
121,Perfect Line,2400,0.93,0.558,C,0.1,0.08,G,1 Color 1 Location,Order Without Logo,See Price Method,P2,50,40,G
121,Perfect Line,4800,0.83,0.498,C,0.1,0.08,G,1 Color 1 Location,Order Without Logo,See Price Method,P2,50,40,G
121,Perfect Line,1,0.83,0.001,C,,,,1 Color 1 Location,Order Sample,Random Sample,RS,,,
125,Perfect Line,300,1.29,0.774,C,,,,Blank,Order Without Logo,See Price Method,P0,,,
125,Perfect Line,600,1.09,0.654,C,,,,Blank,Order Without Logo,See Price Method,P0,,,
125,Perfect Line,1200,0.99,0.594,C,,,,Blank,Order Without Logo,See Price Method,P0,,,
125,Perfect Line,2400,0.89,0.534,C,,,,Blank,Order Without Logo,See Price Method,P0,,,
125,Perfect Line,4800,0.79,0.474,C,,,,Blank,Order Without Logo,See Price Method,P0,,,
125,Perfect Line,300,1.43,0.858,C,0.1,0.08,G,1 Color 1 Location,Order Without Logo,See Price Method,P2,50,40,G
125,Perfect Line,600,1.23,0.738,C,0.1,0.08,G,1 Color 1 Location,Order Without Logo,See Price Method,P2,50,40,G
125,Perfect Line,1200,1.13,0.678,C,0.1,0.08,G,1 Color 1 Location,Order Without Logo,See Price Method,P2,50,40,G
125,Perfect Line,2400,1.03,0.618,C,0.1,0.08,G,1 Color 1 Location,Order Without Logo,See Price Method,P2,50,40,G
125,Perfect Line,4800,0.93,0.558,C,0.1,0.08,G,1 Color 1 Location,Order Without Logo,See Price Method,P2,50,40,G
125,Perfect Line,1,0.93,0.001,C,,,,1 Color 1 Location,Order Sample,Random Sample,RS,,,
126,Perfect Line,300,1.19,0.714,C,,,,Blank,Order Without Logo,See Price Method,P0,,,
126,Perfect Line,600,0.99,0.594,C,,,,Blank,Order Without Logo,See Price Method,P0,,,
126,Perfect Line,1200,0.89,0.534,C,,,,Blank,Order Without Logo,See Price Method,P0,,,
126,Perfect Line,2400,0.79,0.474,C,,,,Blank,Order Without Logo,See Price Method,P0,,,
126,Perfect Line,4800,0.69,0.414,C,,,,Blank,Order Without Logo,See Price Method,P0,,,
126,Perfect Line,300,1.33,0.798,C,0.1,0.08,G,1 Color 1 Location,Order Without Logo,See Price Method,P2,50,40,G
126,Perfect Line,600,1.13,0.678,C,0.1,0.08,G,1 Color 1 Location,Order Without Logo,See Price Method,P2,50,40,G
126,Perfect Line,1200,1.03,0.618,C,0.1,0.08,G,1 Color 1 Location,Order Without Logo,See Price Method,P2,50,40,G
